zone,day_of_week,hour,is_weekday,is_rush_hour,congestion_score,congestion_level,pollution_score,pollution_level,infra_score,infra_level
Indiranagar,5,7,0,0,0.431,medium,0.104,low,0.377,medium
MG Road,5,8,0,1,0.585,medium,0.462,medium,0.533,medium
Whitefield,5,8,0,1,0.351,medium,0.152,low,0.051,low
Koramangala,5,8,0,1,0.314,low,0.123,low,0.343,medium
Electronic City,5,8,0,1,0.487,medium,0.431,medium,0.381,medium
Indiranagar,5,8,0,1,0.362,medium,0.0,low,0.337,medium
MG Road,5,9,0,1,0.61,medium,0.492,medium,0.449,medium
Whitefield,5,9,0,1,0.224,low,0.169,low,0.0,low
Koramangala,5,9,0,1,0.058,low,0.217,low,0.368,medium
Electronic City,5,9,0,1,0.539,medium,0.408,medium,0.196,low
Indiranagar,5,9,0,1,0.291,low,0.174,low,0.319,medium
MG Road,5,10,0,1,0.522,medium,0.495,medium,0.455,medium
Whitefield,5,10,0,1,0.323,low,0.3,low,0.137,low
Koramangala,5,10,0,1,0.083,low,0.0,low,0.239,low
Electronic City,5,10,0,1,0.472,medium,0.299,low,0.297,low
Indiranagar,5,10,0,1,0.264,low,0.246,low,0.347,medium
MG Road,5,11,0,0,0.6,medium,0.309,medium,0.473,medium
Whitefield,5,11,0,0,0.332,low,0.22,low,0.358,medium
Koramangala,5,11,0,0,0.116,low,0.156,low,0.284,low
Electronic City,5,11,0,0,0.491,medium,0.249,low,0.447,medium
Indiranagar,5,11,0,0,0.276,low,0.191,low,0.38,medium
MG Road,5,12,0,0,0.533,medium,0.334,medium,0.431,medium
Whitefield,5,12,0,0,0.221,low,0.295,low,0.189,low
Koramangala,5,12,0,0,0.14,low,0.084,low,0.365,medium
Electronic City,5,12,0,0,0.655,high,0.474,medium,0.421,medium
Indiranagar,5,12,0,0,0.26,low,0.038,low,0.202,low
MG Road,5,13,0,0,0.486,medium,0.131,low,0.602,high
Whitefield,5,13,0,0,0.384,medium,0.244,low,0.414,medium
Koramangala,5,13,0,0,0.064,low,0.0,low,0.032,low
Electronic City,5,13,0,0,0.562,medium,0.312,medium,0.401,medium
Indiranagar,5,13,0,0,0.43,medium,0.438,medium,0.444,medium
MG Road,5,14,0,0,0.581,medium,0.316,medium,0.701,high
Whitefield,5,14,0,0,0.337,low,0.244,low,0.244,low
Koramangala,5,14,0,0,0.246,low,0.192,low,0.374,medium
Electronic City,5,14,0,0,0.528,medium,0.348,medium,0.479,medium
Indiranagar,5,14,0,0,0.378,medium,0.168,low,0.327,medium
MG Road,5,15,0,0,0.562,medium,0.484,medium,0.689,high
Whitefield,5,15,0,0,0.208,low,0.148,low,0.282,low
Koramangala,5,15,0,0,0.174,low,0.222,low,0.335,medium
Electronic City,5,15,0,0,0.421,medium,0.193,low,0.375,medium
Indiranagar,5,15,0,0,0.429,medium,0.315,medium,0.289,low
MG Road,5,16,0,0,0.466,medium,0.396,medium,0.452,medium
Whitefield,5,16,0,0,0.359,medium,0.358,medium,0.174,low
Koramangala,5,16,0,0,0.117,low,0.03,low,0.282,low
Electronic City,5,16,0,0,0.562,medium,0.245,low,0.399,medium
Indiranagar,5,16,0,0,0.42,medium,0.108,low,0.436,medium
MG Road,5,17,0,1,0.453,medium,0.253,low,0.231,low
Whitefield,5,17,0,1,0.461,medium,0.287,low,0.254,low
Koramangala,5,17,0,1,0.176,low,0.019,low,0.157,low
Electronic City,5,17,0,1,0.621,medium,0.615,high,0.364,medium
Indiranagar,5,17,0,1,0.435,medium,0.34,medium,0.308,medium
MG Road,5,18,0,1,0.476,medium,0.488,medium,0.348,medium
Whitefield,5,18,0,1,0.532,medium,0.316,medium,0.521,medium
Koramangala,5,18,0,1,0.126,low,0.168,low,0.39,medium
Electronic City,5,18,0,1,0.611,medium,0.369,medium,0.334,medium
Indiranagar,5,18,0,1,0.344,low,0.11,low,0.436,medium
MG Road,5,19,0,1,0.484,medium,0.447,medium,0.437,medium
Whitefield,5,19,0,1,0.211,low,0.288,low,0.253,low
Koramangala,5,19,0,1,0.152,low,0.216,low,0.348,medium
Electronic City,5,19,0,1,0.439,medium,0.262,low,0.239,low
Indiranagar,5,19,0,1,0.233,low,0.221,low,0.407,medium
MG Road,5,20,0,1,0.611,medium,0.556,medium,0.622,high
Whitefield,5,20,0,1,0.419,medium,0.086,low,0.287,low
Koramangala,5,20,0,1,0.227,low,0.042,low,0.3,medium
Electronic City,5,20,0,1,0.542,medium,0.423,medium,0.429,medium
Indiranagar,5,20,0,1,0.398,medium,0.297,low,0.288,low
MG Road,5,21,0,0,0.591,medium,0.442,medium,0.391,medium
Whitefield,5,21,0,0,0.46,medium,0.376,medium,0.196,low
Koramangala,5,21,0,0,0.085,low,0.003,low,0.177,low
Electronic City,5,21,0,0,0.523,medium,0.269,low,0.497,medium
Indiranagar,5,21,0,0,0.434,medium,0.365,medium,0.453,medium
MG Road,5,22,0,0,0.625,medium,0.41,medium,0.478,medium
Whitefield,5,22,0,0,0.445,medium,0.343,medium,0.26,low
Koramangala,5,22,0,0,0.117,low,0.008,low,0.449,medium
Electronic City,5,22,0,0,0.5,medium,0.366,medium,0.447,medium
Indiranagar,5,22,0,0,0.253,low,0.287,low,0.315,medium
MG Road,5,23,0,0,0.696,high,0.456,medium,0.682,high
Whitefield,5,23,0,0,0.15,low,0.0,low,0.181,low
Koramangala,5,23,0,0,0.0,low,0.06,low,0.231,low
Electronic City,5,23,0,0,0.421,medium,0.293,low,0.424,medium
Indiranagar,5,23,0,0,0.182,low,0.0,low,0.314,medium
MG Road,6,0,0,0,0.252,low,0.17,low,0.49,medium
Whitefield,6,0,0,0,0.088,low,0.131,low,0.046,low
Koramangala,6,0,0,0,0.0,low,0.0,low,0.346,medium
Electronic City,6,0,0,0,0.214,low,0.083,low,0.346,medium
Indiranagar,6,0,0,0,0.095,low,0.0,low,0.278,low
MG Road,6,1,0,0,0.223,low,0.279,low,0.41,medium
Whitefield,6,1,0,0,0.108,low,0.026,low,0.227,low
Koramangala,6,1,0,0,0.0,low,0.0,low,0.212,low
Electronic City,6,1,0,0,0.091,low,0.0,low,0.178,low
Indiranagar,6,1,0,0,0.0,low,0.132,low,0.191,low
MG Road,6,2,0,0,0.313,low,0.238,low,0.428,medium
Whitefield,6,2,0,0,0.169,low,0.0,low,0.198,low
Koramangala,6,2,0,0,0.0,low,0.0,low,0.081,low
Electronic City,6,2,0,0,0.201,low,0.068,low,0.345,medium
Indiranagar,6,2,0,0,0.033,low,0.0,low,0.256,low
MG Road,6,3,0,0,0.242,low,0.128,low,0.312,medium
Whitefield,6,3,0,0,0.129,low,0.028,low,0.163,low
Koramangala,6,3,0,0,0.0,low,0.032,low,0.111,low
Electronic City,6,3,0,0,0.26,low,0.236,low,0.297,low
Indiranagar,6,3,0,0,0.015,low,0.0,low,0.261,low
MG Road,6,4,0,0,0.151,low,0.102,low,0.45,medium
Whitefield,6,4,0,0,0.12,low,0.046,low,0.304,medium
Koramangala,6,4,0,0,0.002,low,0.0,low,0.27,low
Electronic City,6,4,0,0,0.019,low,0.0,low,0.192,low
Indiranagar,6,4,0,0,0.0,low,0.204,low,0.335,medium
MG Road,6,5,0,0,0.627,medium,0.436,medium,0.451,medium
Whitefield,6,5,0,0,0.308,low,0.241,low,0.21,low
Koramangala,6,5,0,0,0.204,low,0.214,low,0.282,low
Electronic City,6,5,0,0,0.354,medium,0.419,medium,0.295,low
Indiranagar,6,5,0,0,0.567,medium,0.462,medium,0.481,medium
MG Road,6,6,0,0,0.586,medium,0.208,low,0.637,high
Whitefield,6,6,0,0,0.555,medium,0.18,low,0.343,medium
Koramangala,6,6,0,0,0.142,low,0.187,low,0.467,medium
Electronic City,6,6,0,0,0.531,medium,0.586,medium,0.404,medium
Indiranagar,6,6,0,0,0.386,medium,0.303,medium,0.551,medium
MG Road,6,7,0,0,0.516,medium,0.443,medium,0.383,medium
Whitefield,6,7,0,0,0.327,low,0.165,low,0.29,low
Koramangala,6,7,0,0,0.125,low,0.201,low,0.162,low
Electronic City,6,7,0,0,0.361,medium,0.117,low,0.419,medium
Indiranagar,6,7,0,0,0.272,low,0.23,low,0.354,medium
MG Road,6,8,0,1,0.616,medium,0.408,medium,0.823,high
Whitefield,6,8,0,1,0.502,medium,0.32,medium,0.306,medium
Koramangala,6,8,0,1,0.401,medium,0.173,low,0.355,medium
Electronic City,6,8,0,1,0.502,medium,0.351,medium,0.202,low
Indiranagar,6,8,0,1,0.39,medium,0.176,low,0.574,medium
MG Road,6,9,0,1,0.434,medium,0.309,medium,0.252,low
Whitefield,6,9,0,1,0.178,low,0.04,low,0.151,low
Koramangala,6,9,0,1,0.267,low,0.183,low,0.436,medium
Electronic City,6,9,0,1,0.47,medium,0.389,medium,0.29,low
Indiranagar,6,9,0,1,0.287,low,0.018,low,0.423,medium
MG Road,6,10,0,1,0.571,medium,0.477,medium,0.55,medium
Whitefield,6,10,0,1,0.512,medium,0.376,medium,0.454,medium
Koramangala,6,10,0,1,0.124,low,0.0,low,0.321,medium
Electronic City,6,10,0,1,0.493,medium,0.428,medium,0.407,medium
Indiranagar,6,10,0,1,0.287,low,0.308,medium,0.303,medium
MG Road,6,11,0,0,0.6,medium,0.548,medium,0.502,medium
Whitefield,6,11,0,0,0.442,medium,0.349,medium,0.412,medium
Koramangala,6,11,0,0,0.083,low,0.08,low,0.092,low
Electronic City,6,11,0,0,0.637,medium,0.244,low,0.394,medium
Indiranagar,6,11,0,0,0.275,low,0.26,low,0.578,medium
MG Road,6,12,0,0,0.602,medium,0.718,high,0.403,medium
Whitefield,6,12,0,0,0.246,low,0.083,low,0.26,low
Koramangala,6,12,0,0,0.068,low,0.0,low,0.289,low
Electronic City,6,12,0,0,0.401,medium,0.167,low,0.295,low
Indiranagar,6,12,0,0,0.326,low,0.329,medium,0.315,medium
MG Road,6,13,0,0,0.492,medium,0.403,medium,0.577,medium
Whitefield,6,13,0,0,0.464,medium,0.372,medium,0.349,medium
Koramangala,6,13,0,0,0.196,low,0.11,low,0.251,low
Electronic City,6,13,0,0,0.358,medium,0.34,medium,0.339,medium
Indiranagar,6,13,0,0,0.412,medium,0.007,low,0.435,medium
MG Road,6,14,0,0,0.482,medium,0.487,medium,0.554,medium
Whitefield,6,14,0,0,0.369,medium,0.215,low,0.337,medium
Koramangala,6,14,0,0,0.076,low,0.043,low,0.172,low
Electronic City,6,14,0,0,0.681,high,0.624,high,0.554,medium
Indiranagar,6,14,0,0,0.231,low,0.248,low,0.386,medium
MG Road,6,15,0,0,0.648,medium,0.486,medium,0.558,medium
Whitefield,6,15,0,0,0.369,medium,0.078,low,0.221,low
Koramangala,6,15,0,0,0.18,low,0.24,low,0.217,low
Electronic City,6,15,0,0,0.497,medium,0.188,low,0.52,medium
Indiranagar,6,15,0,0,0.439,medium,0.373,medium,0.491,medium
MG Road,6,16,0,0,0.674,high,0.391,medium,0.478,medium
Whitefield,6,16,0,0,0.435,medium,0.404,medium,0.205,low
Koramangala,6,16,0,0,0.107,low,0.244,low,0.284,low
Electronic City,6,16,0,0,0.563,medium,0.278,low,0.466,medium
Indiranagar,6,16,0,0,0.236,low,0.0,low,0.442,medium
MG Road,6,17,0,1,0.665,high,0.44,medium,0.511,medium
Whitefield,6,17,0,1,0.487,medium,0.321,medium,0.338,medium
Koramangala,6,17,0,1,0.286,low,0.165,low,0.249,low
Electronic City,6,17,0,1,0.565,medium,0.324,medium,0.387,medium
Indiranagar,6,17,0,1,0.244,low,0.19,low,0.38,medium
MG Road,6,18,0,1,0.627,medium,0.525,medium,0.606,high
Whitefield,6,18,0,1,0.382,medium,0.26,low,0.364,medium
Koramangala,6,18,0,1,0.061,low,0.0,low,0.341,medium
Electronic City,6,18,0,1,0.554,medium,0.375,medium,0.504,medium
Indiranagar,6,18,0,1,0.291,low,0.133,low,0.307,medium
MG Road,6,19,0,1,0.595,medium,0.258,low,0.461,medium
Whitefield,6,19,0,1,0.373,medium,0.141,low,0.233,low
Koramangala,6,19,0,1,0.0,low,0.061,low,0.131,low
Electronic City,6,19,0,1,0.412,medium,0.159,low,0.298,low
Indiranagar,6,19,0,1,0.224,low,0.351,medium,0.126,low
MG Road,6,20,0,1,0.514,medium,0.37,medium,0.428,medium
Whitefield,6,20,0,1,0.367,medium,0.177,low,0.45,medium
Koramangala,6,20,0,1,0.06,low,0.0,low,0.094,low
Electronic City,6,20,0,1,0.531,medium,0.36,medium,0.463,medium
Indiranagar,6,20,0,1,0.39,medium,0.209,low,0.382,medium
MG Road,6,21,0,0,0.519,medium,0.552,medium,0.577,medium
Whitefield,6,21,0,0,0.501,medium,0.435,medium,0.344,medium
Koramangala,6,21,0,0,0.068,low,0.068,low,0.221,low
Electronic City,6,21,0,0,0.493,medium,0.324,medium,0.167,low
Indiranagar,6,21,0,0,0.451,medium,0.311,medium,0.314,medium
MG Road,6,22,0,0,0.589,medium,0.326,medium,0.592,medium
Whitefield,6,22,0,0,0.421,medium,0.396,medium,0.302,medium
Koramangala,6,22,0,0,0.117,low,0.019,low,0.175,low
Electronic City,6,22,0,0,0.499,medium,0.328,medium,0.292,low
Indiranagar,6,22,0,0,0.258,low,0.17,low,0.335,medium
MG Road,6,23,0,0,0.459,medium,0.404,medium,0.661,high
Whitefield,6,23,0,0,0.427,medium,0.227,low,0.316,medium
Koramangala,6,23,0,0,0.273,low,0.074,low,0.388,medium
Electronic City,6,23,0,0,0.384,medium,0.437,medium,0.286,low
Indiranagar,6,23,0,0,0.528,medium,0.543,medium,0.476,medium
MG Road,0,0,1,0,0.442,medium,0.329,medium,0.459,medium
Whitefield,0,0,1,0,0.268,low,0.022,low,0.206,low
Koramangala,0,0,1,0,0.011,low,0.063,low,0.304,medium
Electronic City,0,0,1,0,0.509,medium,0.391,medium,0.293,low
Indiranagar,0,0,1,0,0.316,low,0.301,medium,0.343,medium
MG Road,0,1,1,0,0.51,medium,0.342,medium,0.67,high
Whitefield,0,1,1,0,0.368,medium,0.319,medium,0.126,low
Koramangala,0,1,1,0,0.114,low,0.064,low,0.229,low
Electronic City,0,1,1,0,0.325,low,0.119,low,0.298,low
Indiranagar,0,1,1,0,0.389,medium,0.213,low,0.391,medium
MG Road,0,2,1,0,0.642,medium,0.42,medium,0.544,medium
Whitefield,0,2,1,0,0.291,low,0.069,low,0.323,medium
Koramangala,0,2,1,0,0.048,low,0.03,low,0.264,low
Electronic City,0,2,1,0,0.605,medium,0.292,low,0.504,medium
Indiranagar,0,2,1,0,0.369,medium,0.195,low,0.483,medium
MG Road,0,3,1,0,0.631,medium,0.366,medium,0.577,medium
Whitefield,0,3,1,0,0.332,low,0.286,low,0.36,medium
Koramangala,0,3,1,0,0.113,low,0.131,low,0.154,low
Electronic City,0,3,1,0,0.463,medium,0.277,low,0.237,low
Indiranagar,0,3,1,0,0.259,low,0.208,low,0.422,medium
MG Road,0,4,1,0,0.399,medium,0.185,low,0.532,medium
Whitefield,0,4,1,0,0.341,low,0.327,medium,0.423,medium
Koramangala,0,4,1,0,0.143,low,0.059,low,0.269,low
Electronic City,0,4,1,0,0.583,medium,0.684,high,0.454,medium
Indiranagar,0,4,1,0,0.343,low,0.313,medium,0.415,medium
MG Road,0,5,1,0,0.893,high,0.726,high,0.693,high
Whitefield,0,5,1,0,0.575,medium,0.25,low,0.453,medium
Koramangala,0,5,1,0,0.417,medium,0.218,low,0.254,low
Electronic City,0,5,1,0,0.803,high,0.402,medium,0.526,medium
Indiranagar,0,5,1,0,0.667,high,0.522,medium,0.503,medium
MG Road,0,6,1,0,0.7,high,0.549,medium,0.7,high
Whitefield,0,6,1,0,0.554,medium,0.439,medium,0.53,medium
Koramangala,0,6,1,0,0.427,medium,0.259,low,0.475,medium
Electronic City,0,6,1,0,0.691,high,0.354,medium,0.533,medium
Indiranagar,0,6,1,0,0.568,medium,0.366,medium,0.439,medium
MG Road,0,7,1,0,0.762,high,0.674,high,0.771,high
Whitefield,0,7,1,0,0.744,high,0.63,high,0.494,medium
Koramangala,0,7,1,0,0.285,low,0.181,low,0.53,medium
Electronic City,0,7,1,0,0.715,high,0.652,high,0.467,medium
Indiranagar,0,7,1,0,0.386,medium,0.334,medium,0.556,medium
MG Road,0,8,1,1,1.0,high,0.823,high,0.533,medium
Whitefield,0,8,1,1,0.739,high,0.538,medium,0.493,medium
Koramangala,0,8,1,1,0.759,high,0.595,medium,0.384,medium
Electronic City,0,8,1,1,1.0,high,0.76,high,0.388,medium
Indiranagar,0,8,1,1,0.847,high,0.559,medium,0.548,medium
MG Road,0,9,1,1,1.0,high,0.585,medium,0.742,high
Whitefield,0,9,1,1,0.895,high,0.735,high,0.396,medium
Koramangala,0,9,1,1,0.53,medium,0.399,medium,0.383,medium
Electronic City,0,9,1,1,1.0,high,0.746,high,0.581,medium
Indiranagar,0,9,1,1,0.836,high,0.464,medium,0.666,high
MG Road,0,10,1,1,1.0,high,0.692,high,0.709,high
Whitefield,0,10,1,1,0.868,high,0.433,medium,0.581,medium
Koramangala,0,10,1,1,0.582,medium,0.394,medium,0.562,medium
Electronic City,0,10,1,1,1.0,high,0.53,medium,0.578,medium
Indiranagar,0,10,1,1,0.872,high,0.46,medium,0.704,high
MG Road,0,11,1,0,0.809,high,0.586,medium,0.532,medium
Whitefield,0,11,1,0,0.633,medium,0.527,medium,0.416,medium
Koramangala,0,11,1,0,0.359,medium,0.208,low,0.366,medium
Electronic City,0,11,1,0,0.754,high,0.618,high,0.429,medium
Indiranagar,0,11,1,0,0.503,medium,0.388,medium,0.428,medium
MG Road,0,12,1,0,0.863,high,0.605,high,0.711,high
Whitefield,0,12,1,0,0.519,medium,0.378,medium,0.288,low
Koramangala,0,12,1,0,0.302,low,0.126,low,0.267,low
Electronic City,0,12,1,0,0.85,high,0.538,medium,0.388,medium
Indiranagar,0,12,1,0,0.611,medium,0.43,medium,0.47,medium
MG Road,0,13,1,0,0.787,high,0.649,high,0.682,high
Whitefield,0,13,1,0,0.647,medium,0.334,medium,0.697,high
Koramangala,0,13,1,0,0.484,medium,0.391,medium,0.277,low
Electronic City,0,13,1,0,0.826,high,0.528,medium,0.486,medium
Indiranagar,0,13,1,0,0.466,medium,0.202,low,0.505,medium
MG Road,0,14,1,0,0.88,high,0.685,high,0.717,high
Whitefield,0,14,1,0,0.595,medium,0.376,medium,0.417,medium
Koramangala,0,14,1,0,0.466,medium,0.326,medium,0.507,medium
Electronic City,0,14,1,0,0.733,high,0.415,medium,0.467,medium
Indiranagar,0,14,1,0,0.608,medium,0.418,medium,0.646,high
MG Road,0,15,1,0,0.864,high,0.462,medium,0.799,high
Whitefield,0,15,1,0,0.381,medium,0.482,medium,0.274,low
Koramangala,0,15,1,0,0.385,medium,0.263,low,0.392,medium
Electronic City,0,15,1,0,0.75,high,0.512,medium,0.606,high
Indiranagar,0,15,1,0,0.645,medium,0.356,medium,0.607,high
MG Road,0,16,1,0,0.842,high,0.535,medium,0.716,high
Whitefield,0,16,1,0,0.587,medium,0.389,medium,0.36,medium
Koramangala,0,16,1,0,0.206,low,0.091,low,0.354,medium
Electronic City,0,16,1,0,0.748,high,0.395,medium,0.571,medium
Indiranagar,0,16,1,0,0.576,medium,0.281,low,0.726,high
MG Road,0,17,1,1,0.966,high,0.764,high,0.609,high
Whitefield,0,17,1,1,0.861,high,0.512,medium,0.37,medium
Koramangala,0,17,1,1,0.692,high,0.525,medium,0.591,medium
Electronic City,0,17,1,1,0.997,high,0.92,high,0.601,high
Indiranagar,0,17,1,1,0.895,high,0.491,medium,0.572,medium
MG Road,0,18,1,1,1.0,high,0.692,high,0.719,high
Whitefield,0,18,1,1,0.785,high,0.561,medium,0.476,medium
Koramangala,0,18,1,1,0.556,medium,0.453,medium,0.252,low
Electronic City,0,18,1,1,1.0,high,0.877,high,0.643,high
Indiranagar,0,18,1,1,0.904,high,0.543,medium,0.813,high
MG Road,0,19,1,1,1.0,high,0.616,high,0.653,high
Whitefield,0,19,1,1,0.95,high,0.845,high,0.404,medium
Koramangala,0,19,1,1,0.57,medium,0.384,medium,0.211,low
Electronic City,0,19,1,1,1.0,high,0.819,high,0.431,medium
Indiranagar,0,19,1,1,0.86,high,0.544,medium,0.783,high
MG Road,0,20,1,1,1.0,high,0.852,high,0.64,high
Whitefield,0,20,1,1,0.912,high,0.663,high,0.501,medium
Koramangala,0,20,1,1,0.587,medium,0.443,medium,0.391,medium
Electronic City,0,20,1,1,0.945,high,0.809,high,0.608,high
Indiranagar,0,20,1,1,0.901,high,0.592,medium,0.617,high
MG Road,0,21,1,0,0.78,high,0.58,medium,0.676,high
Whitefield,0,21,1,0,0.598,medium,0.339,medium,0.465,medium
Koramangala,0,21,1,0,0.403,medium,0.138,low,0.148,low
Electronic City,0,21,1,0,0.774,high,0.459,medium,0.528,medium
Indiranagar,0,21,1,0,0.538,medium,0.39,medium,0.452,medium
MG Road,0,22,1,0,0.94,high,0.753,high,0.811,high
Whitefield,0,22,1,0,0.602,medium,0.504,medium,0.4,medium
Koramangala,0,22,1,0,0.518,medium,0.355,medium,0.267,low
Electronic City,0,22,1,0,0.59,medium,0.58,medium,0.459,medium
Indiranagar,0,22,1,0,0.644,medium,0.599,medium,0.367,medium
MG Road,0,23,1,0,0.771,high,0.516,medium,0.683,high
Whitefield,0,23,1,0,0.545,medium,0.261,low,0.247,low
Koramangala,0,23,1,0,0.492,medium,0.27,low,0.342,medium
Electronic City,0,23,1,0,0.801,high,0.491,medium,0.325,medium
Indiranagar,0,23,1,0,0.473,medium,0.326,medium,0.514,medium
MG Road,1,0,1,0,0.484,medium,0.382,medium,0.332,medium
Whitefield,1,0,1,0,0.176,low,0.349,medium,0.344,medium
Koramangala,1,0,1,0,0.162,low,0.047,low,0.241,low
Electronic City,1,0,1,0,0.45,medium,0.446,medium,0.395,medium
Indiranagar,1,0,1,0,0.342,low,0.223,low,0.491,medium
MG Road,1,1,1,0,0.524,medium,0.371,medium,0.435,medium
Whitefield,1,1,1,0,0.291,low,0.096,low,0.262,low
Koramangala,1,1,1,0,0.107,low,0.0,low,0.22,low
Electronic City,1,1,1,0,0.356,medium,0.299,low,0.381,medium
Indiranagar,1,1,1,0,0.266,low,0.241,low,0.44,medium
MG Road,1,2,1,0,0.482,medium,0.491,medium,0.42,medium
Whitefield,1,2,1,0,0.418,medium,0.27,low,0.233,low
Koramangala,1,2,1,0,0.072,low,0.0,low,0.307,medium
Electronic City,1,2,1,0,0.322,low,0.364,medium,0.21,low
Indiranagar,1,2,1,0,0.367,medium,0.259,low,0.449,medium
MG Road,1,3,1,0,0.453,medium,0.352,medium,0.495,medium
Whitefield,1,3,1,0,0.183,low,0.032,low,0.169,low
Koramangala,1,3,1,0,0.04,low,0.153,low,0.217,low
Electronic City,1,3,1,0,0.388,medium,0.222,low,0.28,low
Indiranagar,1,3,1,0,0.277,low,0.086,low,0.304,medium
MG Road,1,4,1,0,0.561,medium,0.411,medium,0.509,medium
Whitefield,1,4,1,0,0.3,low,0.206,low,0.249,low
Koramangala,1,4,1,0,0.141,low,0.143,low,0.099,low
Electronic City,1,4,1,0,0.439,medium,0.157,low,0.414,medium
Indiranagar,1,4,1,0,0.361,medium,0.192,low,0.408,medium
MG Road,1,5,1,0,0.631,medium,0.539,medium,0.623,high
Whitefield,1,5,1,0,0.692,high,0.633,high,0.304,medium
Koramangala,1,5,1,0,0.471,medium,0.478,medium,0.239,low
Electronic City,1,5,1,0,0.736,high,0.479,medium,0.555,medium
Indiranagar,1,5,1,0,0.408,medium,0.468,medium,0.427,medium
MG Road,1,6,1,0,0.873,high,0.605,high,0.699,high
Whitefield,1,6,1,0,0.414,medium,0.252,low,0.4,medium
Koramangala,1,6,1,0,0.423,medium,0.132,low,0.375,medium
Electronic City,1,6,1,0,0.685,high,0.389,medium,0.297,low
Indiranagar,1,6,1,0,0.649,medium,0.566,medium,0.747,high
MG Road,1,7,1,0,0.682,high,0.554,medium,0.656,high
Whitefield,1,7,1,0,0.554,medium,0.296,low,0.263,low
Koramangala,1,7,1,0,0.358,medium,0.271,low,0.479,medium
Electronic City,1,7,1,0,0.838,high,0.425,medium,0.431,medium
Indiranagar,1,7,1,0,0.704,high,0.42,medium,0.551,medium
MG Road,1,8,1,1,0.914,high,0.755,high,0.474,medium
Whitefield,1,8,1,1,0.719,high,0.608,high,0.629,high
Koramangala,1,8,1,1,0.627,medium,0.434,medium,0.542,medium
Electronic City,1,8,1,1,1.0,high,0.663,high,0.526,medium
Indiranagar,1,8,1,1,0.725,high,0.531,medium,0.556,medium
MG Road,1,9,1,1,1.0,high,0.6,medium,0.61,high
Whitefield,1,9,1,1,0.899,high,0.718,high,0.477,medium
Koramangala,1,9,1,1,0.615,medium,0.345,medium,0.54,medium
Electronic City,1,9,1,1,1.0,high,0.737,high,0.611,high
Indiranagar,1,9,1,1,0.825,high,0.461,medium,0.506,medium
MG Road,1,10,1,1,1.0,high,0.627,high,0.659,high
Whitefield,1,10,1,1,0.759,high,0.41,medium,0.377,medium
Koramangala,1,10,1,1,0.785,high,0.615,high,0.461,medium
Electronic City,1,10,1,1,1.0,high,0.685,high,0.71,high
Indiranagar,1,10,1,1,1.0,high,0.803,high,0.684,high
MG Road,1,11,1,0,0.856,high,0.601,high,0.459,medium
Whitefield,1,11,1,0,0.548,medium,0.288,low,0.301,medium
Koramangala,1,11,1,0,0.543,medium,0.493,medium,0.461,medium
Electronic City,1,11,1,0,0.815,high,0.381,medium,0.574,medium
Indiranagar,1,11,1,0,0.675,high,0.249,low,0.622,high
MG Road,1,12,1,0,0.686,high,0.283,low,0.707,high
Whitefield,1,12,1,0,0.519,medium,0.292,low,0.457,medium
Koramangala,1,12,1,0,0.376,medium,0.245,low,0.33,medium
Electronic City,1,12,1,0,0.778,high,0.522,medium,0.498,medium
Indiranagar,1,12,1,0,0.56,medium,0.427,medium,0.53,medium
MG Road,1,13,1,0,0.952,high,0.628,high,0.662,high
Whitefield,1,13,1,0,0.619,medium,0.53,medium,0.288,low
Koramangala,1,13,1,0,0.408,medium,0.035,low,0.336,medium
Electronic City,1,13,1,0,0.836,high,0.512,medium,0.527,medium
Indiranagar,1,13,1,0,0.558,medium,0.304,medium,0.595,medium
MG Road,1,14,1,0,0.716,high,0.531,medium,0.617,high
Whitefield,1,14,1,0,0.532,medium,0.388,medium,0.269,low
Koramangala,1,14,1,0,0.442,medium,0.178,low,0.343,medium
Electronic City,1,14,1,0,0.73,high,0.622,high,0.481,medium
Indiranagar,1,14,1,0,0.676,high,0.529,medium,0.6,high
MG Road,1,15,1,0,0.773,high,0.644,high,0.574,medium
Whitefield,1,15,1,0,0.462,medium,0.302,medium,0.38,medium
Koramangala,1,15,1,0,0.271,low,0.102,low,0.186,low
Electronic City,1,15,1,0,0.813,high,0.736,high,0.479,medium
Indiranagar,1,15,1,0,0.643,medium,0.5,medium,0.687,high
MG Road,1,16,1,0,0.748,high,0.501,medium,0.565,medium
Whitefield,1,16,1,0,0.606,medium,0.675,high,0.395,medium
Koramangala,1,16,1,0,0.332,low,0.117,low,0.458,medium
Electronic City,1,16,1,0,0.681,high,0.543,medium,0.38,medium
Indiranagar,1,16,1,0,0.499,medium,0.41,medium,0.411,medium
MG Road,1,17,1,1,1.0,high,0.75,high,0.755,high
Whitefield,1,17,1,1,0.829,high,0.649,high,0.389,medium
Koramangala,1,17,1,1,0.454,medium,0.388,medium,0.398,medium
Electronic City,1,17,1,1,0.951,high,0.519,medium,0.352,medium
Indiranagar,1,17,1,1,0.854,high,0.763,high,0.603,high
MG Road,1,18,1,1,1.0,high,0.698,high,0.918,high
Whitefield,1,18,1,1,0.91,high,0.544,medium,0.517,medium
Koramangala,1,18,1,1,0.677,high,0.368,medium,0.547,medium
Electronic City,1,18,1,1,0.935,high,0.503,medium,0.556,medium
Indiranagar,1,18,1,1,0.843,high,0.59,medium,0.536,medium
